sensor_1,sensor_2,sensor_3,sensor_4,delay
584,584,584,584
509,509,509,509
429,429,429,429
327,327,327,327
245,245,245,245
195,195,195,195
159,159,159,159
130,130,130,130
111,111,111,111
115,115,115,115
149,149,149,149
188,188,188,188
247,247,247,247
318,318,318,318
388,388,388,388
459,459,459,459
537,537,537,537
623,623,623,623
704,704,704,704
752,752,752,752
786,786,786,786
772,772,772,772
798,798,798,798
806,806,806,806
773,773,773,773
744,744,744,744
694,694,694,694
630,630,630,630
561,561,561,561
496,496,496,496
421,421,421,421
336,336,336,336
241,241,241,241
179,179,179,179
136,136,136,136
107,107,107,107
80,80,80,80
68,68,68,68
86,86,86,86
130,130,130,130
165,165,165,165
223,223,223,223
301,301,301,301
368,368,368,368
430,430,430,430
511,511,511,511
598,598,598,598
675,675,675,675
733,733,733,733
763,763,763,763
791,791,791,791
817,817,817,817
819,819,819,819
775,775,775,775
746,746,746,746
693,693,693,693
623,623,623,623
611,611,611,611
542,542,542,542
462,462,462,462
379,379,379,379
279,279,279,279
219,219,219,219
182,182,182,182
153,153,153,153
124,124,124,124
115,115,115,115
147,147,147,147
179,179,179,179
239,239,239,239
306,306,306,306
367,367,367,367
436,436,436,436
512,512,512,512
592,592,592,592
685,685,685,685
744,744,744,744
784,784,784,784
817,817,817,817
849,849,849,849
861,861,861,861
838,838,838,838
805,805,805,805
760,760,760,760
697,697,697,697
636,636,636,636
566,566,566,566
494,494,494,494
413,413,413,413
263,263,263,263
189,189,189,189
143,143,143,143
109,109,109,109
83,83,83,83
65,65,65,65
64,64,64,64
100,100,100,100
133,133,133,133
184,184,184,184
249,249,249,249
315,315,315,315
392,392,392,392
464,464,464,464
546,546,546,546
639,639,639,639
702,702,702,702
739,739,739,739
764,764,764,764
791,791,791,791
809,809,809,809
789,789,789,789
756,756,756,756
709,709,709,709
650,650,650,650
639,639,639,639
569,569,569,569
496,496,496,496
413,413,413,413
318,318,318,318
240,240,240,240
195,195,195,195
160,160,160,160
133,133,133,133
114,114,114,114
123,123,123,123
154,154,154,154
189,189,189,189
246,246,246,246
317,317,317,317
383,383,383,383
461,461,461,461
535,535,535,535
622,622,622,622
707,707,707,707
753,753,753,753
783,783,783,783
817,817,817,817
840,840,840,840
836,836,836,836
801,801,801,801
774,774,774,774
718,718,718,718
648,648,648,648
539,539,539,539
473,473,473,473
400,400,400,400
317,317,317,317
221,221,221,221
164,164,164,164
126,126,126,126
94,94,94,94
73,73,73,73
58,58,58,58
76,76,76,76
113,113,113,113
145,145,145,145
189,189,189,189
266,266,266,266
327,327,327,327
398,398,398,398
473,473,473,473
574,574,574,574
662,662,662,662
706,706,706,706
741,741,741,741
757,757,757,757
780,780,780,780
787,787,787,787
754,754,754,754
725,725,725,725
682,682,682,682
614,614,614,614
551,551,551,551
485,485,485,485
409,409,409,409
329,329,329,329
230,230,230,230
178,178,178,178
140,140,140,140
156,156,156,156
138,138,138,138
124,124,124,124
150,150,150,150
179,179,179,179
229,229,229,229
292,292,292,292
362,362,362,362
432,432,432,432
506,506,506,506
590,590,590,590
682,682,682,682
746,746,746,746
780,780,780,780
808,808,808,808
839,839,839,839
860,860,860,860
837,837,837,837
803,803,803,803
766,766,766,766
706,706,706,706
637,637,637,637
522,522,522,522
450,450,450,450
369,369,369,369
287,287,287,287
207,207,207,207
160,160,160,160
124,124,124,124
96,96,96,96
78,78,78,78
61,61,61,61
91,91,91,91
121,121,121,121
168,168,168,168
238,238,238,238
306,306,306,306
381,381,381,381
456,456,456,456
535,535,535,535
620,620,620,620
687,687,687,687
723,723,723,723
755,755,755,755
849,849,849,849
860,860,860,860
844,844,844,844
809,809,809,809
772,772,772,772
716,716,716,716
645,645,645,645
580,580,580,580
505,505,505,505
426,426,426,426
334,334,334,334
249,249,249,249
208,208,208,208
169,169,169,169
137,137,137,137
114,114,114,114
116,116,116,116
151,151,151,151
185,185,185,185
242,242,242,242
312,312,312,312
384,384,384,384
461,461,461,461
530,530,530,530
611,611,611,611
706,706,706,706
754,754,754,754
785,785,785,785
817,817,817,817
843,843,843,843
851,851,851,851
815,815,815,815
745,745,745,745
695,695,695,695
628,628,628,628
563,563,563,563
493,493,493,493
397,397,397,397
314,314,314,314
234,234,234,234
168,168,168,168
128,128,128,128
95,95,95,95
72,72,72,72
57,57,57,57
63,63,63,63
100,100,100,100
116,116,116,116
183,183,183,183
260,260,260,260
326,326,326,326
398,398,398,398
481,481,481,481
561,561,561,561
650,650,650,650
703,703,703,703
734,734,734,734
838,838,838,838
857,857,857,857
868,868,868,868
838,838,838,838
807,807,807,807
757,757,757,757
690,690,690,690
623,623,623,623
552,552,552,552
474,474,474,474
392,392,392,392
302,302,302,302
232,232,232,232
191,191,191,191
158,158,158,158
132,132,132,132
111,111,111,111
130,130,130,130
166,166,166,166
210,210,210,210
272,272,272,272
343,343,343,343
406,406,406,406
482,482,482,482
563,563,563,563
608,608,608,608
671,671,671,671
717,717,717,717
745,745,745,745
785,785,785,785
812,812,812,812
799,799,799,799
761,761,761,761
731,731,731,731
666,666,666,666
595,595,595,595
533,533,533,533
461,461,461,461
392,392,392,392
306,306,306,306
215,215,215,215
162,162,162,162
126,126,126,126
92,92,92,92
66,66,66,66
59,59,59,59
82,82,82,82
166,166,166,166
213,213,213,213
270,270,270,270
340,340,340,340
412,412,412,412
486,486,486,486
565,565,565,565
651,651,651,651
725,725,725,725
766,766,766,766
795,795,795,795
825,825,825,825
849,849,849,849
839,839,839,839
797,797,797,797
764,764,764,764
707,707,707,707
636,636,636,636
572,572,572,572
497,497,497,497
417,417,417,417
328,328,328,328
240,240,240,240
163,163,163,163
123,123,123,123
92,92,92,92
72,72,72,72
85,85,85,85
109,109,109,109
149,149,149,149
193,193,193,193
256,256,256,256
329,329,329,329
343,343,343,343
413,413,413,413
501,501,501,501
602,602,602,602
675,675,675,675
715,715,715,715
746,746,746,746
778,778,778,778
801,801,801,801
786,786,786,786
753,753,753,753
721,721,721,721
661,661,661,661
592,592,592,592
530,530,530,530
460,460,460,460
379,379,379,379
289,289,289,289
205,205,205,205
153,153,153,153
117,117,117,117
97,97,97,97
79,79,79,79
61,61,61,61
91,91,91,91
119,119,119,119
165,165,165,165
228,228,228,228
294,294,294,294
362,362,362,362
436,436,436,436
526,526,526,526
609,609,609,609
687,687,687,687
722,722,722,722
753,753,753,753
787,787,787,787
805,805,805,805
794,794,794,794
830,830,830,830
790,790,790,790
732,732,732,732
661,661,661,661
590,590,590,590
513,513,513,513
436,436,436,436
346,346,346,346
258,258,258,258
206,206,206,206
166,166,166,166
132,132,132,132
106,106,106,106
104,104,104,104
136,136,136,136
170,170,170,170
231,231,231,231
307,307,307,307
374,374,374,374
455,455,455,455
520,520,520,520
601,601,601,601
689,689,689,689
741,741,741,741
773,773,773,773
803,803,803,803
841,841,841,841
854,854,854,854
823,823,823,823
749,749,749,749
703,703,703,703
642,642,642,642
575,575,575,575
502,502,502,502
429,429,429,429
345,345,345,345
245,245,245,245
178,178,178,178
138,138,138,138
104,104,104,104
75,75,75,75
63,63,63,63
73,73,73,73
106,106,106,106
151,151,151,151
207,207,207,207
278,278,278,278
350,350,350,350
422,422,422,422
488,488,488,488
576,576,576,576
661,661,661,661
710,710,710,710
749,749,749,749
779,779,779,779
809,809,809,809
815,815,815,815
783,783,783,783
749,749,749,749
698,698,698,698
632,632,632,632
568,568,568,568
551,551,551,551
475,475,475,475
393,393,393,393
296,296,296,296
228,228,228,228
186,186,186,186
152,152,152,152
126,126,126,126
112,112,112,112
135,135,135,135
169,169,169,169
218,218,218,218
281,281,281,281
346,346,346,346
401,401,401,401
478,478,478,478
570,570,570,570
659,659,659,659
731,731,731,731
769,769,769,769
805,805,805,805
830,830,830,830
852,852,852,852
834,834,834,834
793,793,793,793
767,767,767,767
709,709,709,709
638,638,638,638
573,573,573,573
504,504,504,504
427,427,427,427
336,336,336,336
193,193,193,193
145,145,145,145
111,111,111,111
83,83,83,83
64,64,64,64
57,57,57,57
84,84,84,84
115,115,115,115
159,159,159,159
211,211,211,211
276,276,276,276
356,356,356,356
438,438,438,438
516,516,516,516
605,605,605,605
680,680,680,680
719,719,719,719
749,749,749,749
766,766,766,766
787,787,787,787
789
752
721
665
595
532
461
383
293
256
206
171
138
115
117
151
174
231
310
375
447
523
606
695
751
775
803
841
853
822
792
740
677
612
487
417
335
243
173
110
77
52
34
38
69
112
163
228
298
355
427
508
601
666
721
749
781
803
779
747
708
645
577
565
494
417
324
231
185
162
134
114
118
157
190
248
318
387
460
544
628
708
754
788
814
794
797
761
733
684
614
550
481
405
323
233
174
121
93
68
55
71
102
138
196
273
340
407
483
565
659
704
739
769
861
861
825
794
741
672
609
536
460
377
272
205
165
132
105
93
121
157
207
259
329
398
470
549
649
721
760
660
5
777
796
785
746
716
660
591
530
462
384
295
205
151
92
66
62
52
71
106
143
209
276
343
407
499
584
666
708
739
770
796
794
760
800
741
671
599
523
446
358
254
196
156
126
100
93
117
150
208
250
316
381
450
557,557,557,557
652,652,652,652
715,715,715,715
753,753,753,753
783,783,783,783
767,767,767,767
781,781,781,781
760,760,760,760
727,727,727,727
698,698,698,698
641,641,641,641
572,572,572,572
511,511,511,511
437,437,437,437
361,361,361,361
272,272,272,272
189,189,189,189
142,142,142,142
108,108,108,108
79,79,79,79
62,62,62,62
56,56,56,56
84,84,84,84
118,118,118,118
165,165,165,165
227,227,227,227
284,284,284,284
360,360,360,360
436,436,436,436
523,523,523,523
613,613,613,613
680,680,680,680
721,721,721,721
748,748,748,748
768,768,768,768
784,784,784,784
779,779,779,779
746,746,746,746
712,712,712,712
652,652,652,652
583,583,583,583
522,522,522,522
452,452,452,452
371,371,371,371
280,280,280,280
245,245,245,245
198,198,198,198
161,161,161,161
133,133,133,133
110,110,110,110
115,115,115,115
149,149,149,149
175,175,175,175
233,233,233,233
312,312,312,312
377,377,377,377
450,450,450,450
526,526,526,526
609,609,609,609
695,695,695,695
745,745,745,745
775,775,775,775
801,801,801,801
836,836,836,836
847,847,847,847
812,812,812,812
782,782,782,782
731,731,731,731
664,664,664,664
600,600,600,600
476,476,476,476
403,403,403,403
322,322,322,322
226,226,226,226
162,162,162,162
120,120,120,120
91,91,91,91
65,65,65,65
53,53,53,53
62,62,62,62
91,91,91,91
120,120,120,120
182,182,182,182
240,240,240,240
306,306,306,306
377,377,377,377
453,453,453,453
532,532,532,532
633,633,633,633
687,687,687,687
720,720,720,720
763,763,763,763
784,784,784,784
798,798,798,798
772,772,772,772
740,740,740,740
693,693,693,693
631,631,631,631
568,568,568,568
549,549,549,549
481,481,481,481
401,401,401,401
303,303,303,303
228,228,228,228
184,184,184,184
149,149,149,149
120,120,120,120
102,102,102,102
114,114,114,114
150,150,150,150
187,187,187,187
243,243,243,243
323,323,323,323
393,393,393,393
466,466,466,466
543,543,543,543
631,631,631,631
708,708,708,708
752,752,752,752
776,776,776,776
802,802,802,802
837,837,837,837
837,837,837,837
800,800,800,800
771,771,771,771
717,717,717,717
647,647,647,647
581,581,581,581
453,453,453,453
382,382,382,382
295,295,295,295
200,200,200,200
146,146,146,146
107,107,107,107
78,78,78,78
56,56,56,56
45,45,45,45
62,62,62,62
98,98,98,98
136,136,136,136
194,194,194,194
256,256,256,256
321,321,321,321
393,393,393,393
469,469,469,469
554,554,554,554
641,641,641,641
694,694,694,694
730,730,730,730
762,762,762,762
785,785,785,785
791,791,791,791
760,760,760,760
733,733,733,733
679,679,679,679
614,614,614,614
551,551,551,551
530,530,530,530
461,461,461,461
378,378,378,378
274,274,274,274
211,211,211,211
169,169,169,169
135,135,135,135
110,110,110,110
94,94,94,94
111,111,111,111
149,149,149,149
182,182,182,182
242,242,242,242
321,321,321,321
387,387,387,387
461,461,461,461
539,539,539,539
629,629,629,629
706,706,706,706
748,748,748,748
770,770,770,770
802,802,802,802
835,835,835,835
830,830,830,830
795,795,795,795
764,764,764,764
708,708,708,708
637,637,637,637
571,571,571,571
445,445,445,445
371,371,371,371
287,287,287,287
195,195,195,195
141,141,141,141
102,102,102,102
73,73,73,73
55,55,55,55
40,40,40,40
61,61,61,61
96,96,96,96
134,134,134,134
190,190,190,190
262,262,262,262
329,329,329,329
403,403,403,403
479,479,479,479
553,553,553,553
639,639,639,639
692,692,692,692
729,729,729,729
762,762,762,762
792,792,792,792
795,795,795,795
763,763,763,763
735,735,735,735
672,672,672,672
607,607,607,607
542,542,542,542
520,520,520,520
452,452,452,452
369,369,369,369
271,271,271,271
206,206,206,206
164,164,164,164
132,132,132,132
105,105,105,105
90,90,90,90
114,114,114,114
146,146,146,146
189,189,189,189
254,254,254,254
324,324,324,324
388,388,388,388
458,458,458,458
532,532,532,532
635,635,635,635
714,714,714,714
749,749,749,749
780,780,780,780
811,811,811,811
833,833,833,833
822,822,822,822
779,779,779,779
754,754,754,754
696,696,696,696
628,628,628,628
565,565,565,565
496,496,496,496
418,418,418,418
327,327,327,327
235,235,235,235
127,127,127,127
92,92,92,92
66,66,66,66
46,46,46,46
32,32,32,32
57,57,57,57
89,89,89,89
122,122,122,122
179,179,179,179
251,251,251,251
316,316,316,316
397,397,397,397
483,483,483,483
567,567,567,567
650,650,650,650
702,702,702,702
735,735,735,735
763,763,763,763
789,789,789,789
796,796,796,796
765,765,765,765
737,737,737,737
687,687,687,687
620,620,620,620
549,549,549,549
480,480,480,480
409,409,409,409
324,324,324,324
225,225,225,225
209,209,209,209
173,173,173,173
142,142,142,142
112,112,112,112
91,91,91,91
116,116,116,116
147,147,147,147
192,192,192,192
260,260,260,260
323,323,323,323
390,390,390,390
471,471,471,471
549,549,549,549
638,638,638,638
708,708,708,708
745,745,745,745
776,776,776,776
806,806,806,806
825,825,825,825
816,816,816,816
779,779,779,779
746,746,746,746
679,679,679,679
609,609,609,609
542,542,542,542
467,467,467,467
391,391,391,391
297,297,297,297
210,210,210,210
159,159,159,159
98,98,98,98
71,71,71,71
48,48,48,48
38,38,38,38
58,58,58,58
114,114,114,114
157,157,157,157
215,215,215,215
285,285,285,285
356,356,356,356
379,379,379,379
451,451,451,451
539,539,539,539
620,620,620,620
681,681,681,681
714,714,714,714
742,742,742,742
770,770,770,770
773,773,773,773
734,734,734,734
707,707,707,707
652,652,652,652
580,580,580,580
518,518,518,518
452,452,452,452
371,371,371,371
286,286,286,286
193,193,193,193
135,135,135,135
100,100,100,100
69,69,69,69
47,47,47,47
42,42,42,42
63,63,63,63
86,86,86,86
114,114,114,114
172,172,172,172
245,245,245,245
309,309,309,309
380,380,380,380
458,458,458,458
549,549,549,549
637,637,637,637
680,680,680,680
712,712,712,712
746,746,746,746
773,773,773,773
779,779,779,779
748,748,748,748
720,720,720,720
732,732,732,732
664,664,664,664
593,593,593,593
519,519,519,519
445,445,445,445
362,362,362,362
261,261,261,261
197,197,197,197
155,155,155,155
132,132,132,132
106,106,106,106
84,84,84,84
101,101,101,101
138,138,138,138
180,180,180,180
238,238,238,238
310,310,310,310
374,374,374,374
455,455,455,455
533,533,533,533
620,620,620,620
696,696,696,696
737,737,737,737
772,772,772,772
799,799,799,799
823,823,823,823
819,819,819,819
781,781,781,781
751,751,751,751
649,649,649,649
580,580,580,580
491,491,491,491
419,419,419,419
340,340,340,340
256,256,256,256
162,162,162,162
124,124,124,124
86,86,86,86
60,60,60,60
39,39,39,39
8,8,8,8
18,18,18,18
48,48,48,48
78,78,78,78
127,127,127,127
192,192,192,192
276,276,276,276
347,347,347,347
424,424,424,424
510,510,510,510
602,602,602,602
662,662,662,662
698,698,698,698
727,727,727,727
758,758,758,758
847,847,847,847
823,823,823,823
787,787,787,787
746,746,746,746
679,679,679,679
603,603,603,603
533,533,533,533
459,459,459,459
371,371,371,371
293,293,293,293
212,212,212,212
164,164,164,164
122,122,122,122
90,90,90,90
70,70,70,70
71,71,71,71
104,104,104,104
134,134,134,134
197,197,197,197
269,269,269,269
334,334,334,334
408,408,408,408
436,436,436,436
515,515,515,515
607,607,607,607
667,667,667,667
701,701,701,701
730,730,730,730
760,760,760,760
777,777,777,777
749,749,749,749
717,717,717,717
671,671,671,671
610,610,610,610
530,530,530,530
461,461,461,461
401,401,401,401
322,322,322,322
226,226,226,226
149,149,149,149
108,108,108,108
73,73,73,73
46,46,46,46
16,16,16,16
12,12,12,12
51,51,51,51
86,86,86,86
128,128,128,128
192,192,192,192
265,265,265,265
332,332,332,332
410,410,410,410
497,497,497,497
585,585,585,585
654,654,654,654
758,758,758,758
787,787,787,787
815,815,815,815
835,835,835,835
819,819,819,819
784,784,784,784
747,747,747,747
685,685,685,685
615,615,615,615
550,550,550,550
484,484,484,484
405,405,405,405
316,316,316,316
230,230,230,230
175,175,175,175
136,136,136,136
105,105,105,105
81,81,81,81
77,77,77,77
111,111,111,111
141,141,141,141
193,193,193,193
266,266,266,266
330,330,330,330
400,400,400,400
432,432,432,432
508,508,508,508
601,601,601,601
670,670,670,670
704,704,704,704
725,725,725,725
754,754,754,754
769,769,769,769
745,745,745,745
714,714,714,714
668,668,668,668
607,607,607,607
551,551,551,551
484,484,484,484
402,402,402,402
320,320,320,320
223,223,223,223
150,150,150,150
103,103,103,103
68,68,68,68
44,44,44,44
25,25,25,25
78,78,78,78
109,109,109,109
138,138,138,138
194,194,194,194
261,261,261,261
326,326,326,326
397,397,397,397
470,470,470,470
551,551,551,551
646,646,646,646
704,704,704,704
729,729,729,729
763,763,763,763
790,790,790,790
805,805,805,805
784,784,784,784
749,749,749,749
704,704,704,704
642,642,642,642
