sensor_1,delay
489,220
492,220
487,216
490,216
492,224
493,220
495,220
495,216
496,216
492,216
493,220
495,220
492,216
488,216
491,216
497,220
493,220
490,220
490,216
491,216
492,224
490,220
493,220
497,216
491,216
488,216
492,220
491,220
490,220
491,216
491,216
492,220
493,220
493,220
492,216
489,216
488,224
488,220
488,220
489,216
487,216
488,216
489,220
489,220
487,220
488,216
492,216
492,220
492,220
490,220
490,216
490,216
490,224
491,220
492,220
492,216
492,216
492,216
491,220
486,220
488,220
491,216
491,216
488,220
488,220
489,220
489,216
491,216
490,224
490,220
493,220
490,216
489,216
490,216
488,220
487,220
488,220
490,216
488,216
487,220
488,220
488,220
487,216
488,216
491,224
489,220
487,220
487,216
489,216
490,216
491,220
487,220
496,216
495,216
491,216
494,220
494,220
493,220
494,216
494,216
492,224
489,220
489,220
492,216
497,216
492,224
490,220
493,220
489,220
490,216
493,216
494,220
495,220
494,220
493,216
496,216
496,220
493,220
493,220
496,216
492,216
491,224
493,220
493,220
494,220
491,216
491,216
492,220
490,220
487,220
488,216
491,216
487,224
486,220
488,220
488,216
488,216
487,216
488,220
489,220
486,220
488,216
488,216
495,220
493,220
493,220
493,216
493,216
492,224
488,220
490,220
493,216
487,216
487,216
488,220
487,220
486,216
488,216
494,216
496,220
493,220
493,220
497,216
495,216
492,224
489,220
490,220
487,216
486,216
487,216
487,220
485,220
485,216
488,216
489,216
486,220
490,220
498,220
497,216
494,216
494,224
496,220
495,220
491,216
493,216
498,216
489,220
488,220
488,220
497,216
497,216
497,220
497,220
499,220
499,216
497,216
498,224
497,220
492,220
489,216
488,216
489,224
484,220
484,220
487,220
488,216
485,216
488,220
490,220
495,220
494,216
496,216
498,224
498,220
497,220
498,216
499,216
497,216
495,220
494,220
496,216
495,216
486,216
487,220
486,220
486,220
483,216
484,216
485,224
482,220
484,220
486,216
487,216
483,216
485,220
490,220
488,216
487,216
490,216
490,220
489,220
485,220
485,216
486,216
486,224
484,220
484,220
489,216
491,216
491,216
494,220
497,220
498,220
495,216
495,216
493,220
487,220
487,220
486,216
486,216
484,224
485,220
487,220
487,216
486,216
492,216
496,220
499,220
497,220
498,216
499,216
502,220
497,220
498,220
500,216
498,216
497,224
498,220
500,220
500,216
501,216
501,216
503,220
500,220
502,216
501,216
501,216
497,220
491,220
487,220
484,216
481,216
479,224
482,220
481,220
479,216
480,216
485,216
485,220
484,220
493,220
498,216
500,216
496,220
496,220
498,216
491,216
484,216
484,224
486,220
483,220
483,216
484,216
484,216
487,220
485,220
486,220
489,216
487,216
491,220
495,220
496,220
494,216
494,216
497,224
491,220
493,220
493,216
494,216
490,224
493,220
494,220
496,220
496,216
494,216
497,220
500,220
499,220
499,216
501,216
503,220
499,220
499,220
498,216
497,216
490,216
484,220
487,220
484,220
481,216
481,216
483,220
483,220
481,220
483,216
487,216
489,224
486,220
489,220
490,216
494,216
488,216
491,220
492,220
490,216
491,216
495,216
498,220
493,220
495,220
495,216
498,216
494,224
493,220
492,220
495,216
493,216
490,216
491,220
492,220
494,220
494,216
500,216
500,220
498,220
499,220
501,216
501,216
497,224
497,220
496,220
489,216
485,216
486,216
488,220
485,220
484,216
484,216
485,216
485,220
492,220
497,220
500,216
500,216
500,220
502,220
501,220
496,216
492,216
489,216
486,220
481,220
481,220
481,216
481,216
478,220
480,220
483,220
483,216
482,216
485,220
490,220
494,220
496,216
496,216
493,216
486,220
484,220
484,216
485,216
484,216
486,220
493,220
499,220
497,216
498,216
503,224
502,220
500,220
500,216
503,216
501,216
498,220
496,220
496,220
492,216
489,216
487,220
490,220
495,220
493,216
495,216
500,224
500,220
500,220
500,216
501,216
499,216
501,220
500,220
501,220
497,216
496,216
491,220
486,220
482,220
481,216
484,216
480,224
479,220
479,220
482,216
483,216
483,216
485,220
490,220
496,220
493,216
490,216
493,220
488,220
483,220
482,216
482,216
483,224
480,220
482,220
483,216
483,216
485,224
492,220
496,220
495,220
499,216
500,216
499,220
498,220
498,220
503,216
500,216
497,224
498,220
500,220
500,216
497,216
498,220
499,220
498,220
494,220
493,216
493,216
489,220
494,220
495,220
499,216
496,216
498,224
498,220
498,220
490,216
488,216
490,216
489,220
485,220
487,220
490,216
488,216
485,220
486,220
486,220
486,216
483,216
485,224
486,220
486,220
486,216
488,216
491,216
488,220
485,220
486,216
486,216
485,216
484,220
485,220
488,220
490,216
493,216
497,224
497,220
496,220
499,216
501,216
502,216
499,220
499,220
501,216
500,216
497,216
496,220
496,220
491,220
488,224
485,216
488,224
485,220
484,220
487,216
497,216
498,216
496,220
498,220
498,216
497,216
496,216
495,220
489,220
485,220
485,216
487,216
484,224
480,220
481,220
486,216
485,216
483,216
485,220
488,220
488,220
486,216
487,216
488,220
487,220
486,220
486,216
489,216
492,224
492,220
493,220
496,216
496,216
494,220
495,220
493,220
485,220
484,216
484,216
485,220
481,220
483,220
485,216
486,216
484,224
486,220
495,220
499,216
497,216
501,216
505,220
504,220
502,216
502,216
504,216
503,220
499,220
499,220
499,216
489,216
484,224
483,220
484,220
481,216
483,216
485,216
490,220
493,220
498,220
502,216
502,216
500,220
501,220
503,220
501,216
497,216
492,224
488,220
487,220
483,216
481,216
484,216
484,220
481,220
482,220
486,216
485,216
484,220
486,220
490,220
487,216
484,216
487,224
488,220
487,220
486,216
485,216
486,216
481,220
482,220
484,220
483,216
480,216
483,220
486,220
488,220
488,216
495,216
498,224
501,220
499,220
501,216
503,216
502,220
500,220
501,220
503,220
499,216
495,216
492,220
490,220
486,220
486,216
487,216
488,220
485,220
484,220
490,216
488,216
484,216
484,220
487,220
489,216
488,216
495,216
498,220
499,220
497,220
498,216
500,216
497,220
496,220
496,220
497,216
495,216
493,216
495,220
498,220
495,216
497,216
498,216
499,220
496,220
497,220
498,216
496,216
487,224
486,220
486,220
486,216
483,216
483,216
487,220
487,220
490,216
496,216
499,216
501,220
499,220
498,220
500,216
499,216
489,224
485,220
485,220
483,216
480,216
481,224
481,220
480,220
481,220
483,216
486,216
485,220
491,220
498,220
500,216
497,216
498,220
501,220
500,220
496,216
496,216
495,216
492,220
488,220
487,220
489,216
486,216
487,220
492,220
499,220
500,216
498,216
500,224
502,220
498,220
498,216
498,216
499,216
496,220
495,220
493,216
489,216
484,216
485,220
486,220
485,220
482,216
483,216
484,224
485,220
482,220
484,216
486,216
488,216
485,220
486,220
487,220
486,216
483,216
484,220
487,220
485,220
485,216
488,216
496,224
496,220
499,220
501,216
501,216
500,216
502,220
503,220
504,220
500,216
500,216
502,220
499,220
496,220
495,216
495,216
493,224
492,220
495,220
498,216
500,216
498,216
498,220
501,220
499,220
497,216
497,216
491,220
487,220
484,220
483,216
482,216
480,224
478,220
483,220
482,216
479,216
481,216
484,220
483,220
482,216
484,216
489,216
486,220
484,220
486,220
487,216
487,216
486,224
485,220
487,220
486,216
483,216
483,216
483,220
483,220
482,216
483,216
487,216
491,220
497,220
500,220
503,216
502,216
503,224
506,220
506,220
503,216
503,216
506,216
504,220
501,220
500,220
500,216
496,216
487,220
488,220
490,220
492,216
491,216
492,224
490,220
489,220
484,216
484,216
484,224
482,220
480,220
481,220
484,216
481,216
483,220
487,220
487,220
487,216
492,216
497,224
499,220
494,220
489,216
489,216
488,216
484,220
484,220
486,216
484,216
483,216
483,220
485,220
483,220
483,216
483,216
486,224
486,220
484,220
488,216
495,216
496,216
499,220
501,220
503,220
502,216
502,216
505,220
504,220
500,220
499,216
500,216
496,224
487,220
485,220
486,216
486,216
485,216
488,220
494,220
495,220
492,216
489,216
489,220
485,220
481,220
480,216
482,216
481,224
480,220
480,220
481,216
480,216
482,216
487,220
491,220
493,220
500,216
502,216
504,220
499,220
500,220
501,216
502,216
498,224
497,220
500,220
500,216
497,216
498,216
500,220
498,220
495,220
493,216
497,216
495,220
493,220
496,220
495,216
494,216
495,224
495,220
495,220
492,216
490,216
490,216
487,220
483,220
483,216
486,216
485,216
483,220
485,220
487,220
488,216
486,216
488,224
490,220
486,220
485,216
485,216
487,216
484,220
482,220
480,220
484,216
481,216
481,220
481,220
482,220
481,216
483,216
490,220
496,220
497,220
498,216
502,216
502,216
500,220
502,220
504,220
502,216
499,216
498,220
498,220
496,220
494,216
496,216
499,224
500,220
499,220
501,216
503,216
500,216
498,220
495,220
489,220
486,216
483,216
482,220
482,220
479,220
480,216
482,216
483,224
479,220
482,220
486,216
487,216
485,220
488,220
496,220
496,220
495,216
494,216
495,220
495,220
486,220
484,216
487,216
484,224
483,220
484,220
486,216
485,216
485,216
489,220
496,220
496,220
496,216
500,216
501,220
499,220
499,220
502,216
500,216
496,224
494,220
491,220
490,216
484,216
484,216
483,220
486,220
483,220
484,216
488,216
494,220
495,220
497,220
499,216
498,216
498,224
497,220
497,220
488,216
485,216
485,224
486,220
482,220
483,220
485,216
485,216
482,220
482,220
485,220
483,216
481,216
482,224
484,220
483,220
483,216
487,216
496,216
497,220
498,220
501,216
504,216
502,216
501,220
501,220
501,220
496,216
495,216
491,224
486,220
485,220
484,216
486,216
486,224
483,220
485,220
489,220
489,216
487,216
490,220
493,220
496,220
492,216
494,216
494,224
494,220
489,220
487,216
487,216
488,216
484,220
484,220
487,220
485,216
483,216
483,220
486,220
487,216
494,216
497,216
499,224
498,220
499,220
502,216
501,216
497,216
494,220
498,220
490,220
485,216
484,216
484,220
484,220
483,220
483,216
484,216
486,224
485,220
487,220
489,216
489,216
487,216
491,220
492,220
491,220
491,216
491,216
492,220
487,220
488,220
488,216
488,216
483,224
483,216
486,220
485,216
482,216
482,216
484,220
486,220
484,220
487,216
488,216
493,220
492,220
494,220
498,216
495,216
491,224
487,220
489,220
487,216
486,216
488,216
497,220
494,220
497,220
500,216
501,216
499,220
499,220
500,220
498,216
493,216
490,224
490,220
492,220
487,216
492,216
499,216
500,220
499,220
499,220
501,216
501,216
497,220
495,220
497,220
489,216
484,216
484,224
484,220
484,220
481,216
483,216
483,216
481,220
482,220
485,220
486,216
481,216
484,220
488,220
488,220
488,216
490,216
494,224
496,220
493,220
495,216
491,216
485,216
483,220
481,220
484,216
480,216
479,216
481,220
484,220
484,220
489,216
495,216
499,224
497,220
500,220
501,216
502,216
500,216
499,220
501,220
501,220
495,216
496,216
498,220
498,220
497,220
499,216
501,216
502,224
498,220
498,220
498,216
490,216
484,216
483,220
484,220
482,220
480,216
481,216
483,220
481,220
483,220
487,216
489,216
489,224
494,220
499,220
498,216
492,216
489,216
490,220
485,220
482,216
481,216
485,216
483,220
480,220
481,220
483,216
483,216
482,220
483,220
487,220
486,216
489,216
497,224
500,220
500,220
500,220
500,216
502,216
499,220
499,220
499,220
499,216
496,216
494,224
493,220
494,220
488,216
487,216
489,216
489,220
488,220
491,216
497,216
494,216
487,220
492,220
496,220
495,216
496,216
497,224
500,220
498,220
495,216
493,216
488,216
483,220
483,220
483,220
483,216
479,216
480,220
484,220
483,220
479,216
481,216
484,224
485,220
484,220
491,216
497,216
498,216
496,220
497,220
499,220
500,216
498,216
498,220
500,220
496,220
485,216
483,216
485,224
482,220
478,220
480,216
481,216
480,216
483,220
488,220
496,220
497,216
500,216
503,220
504,216
500,220
501,216
503,216
500,224
496,220
494,220
489,216
485,216
483,216
483,220
485,220
484,220
485,216
485,216
488,220
487,220
495,220
498,216
500,216
497,224
500,220
502,220
502,216
499,216
498,224
501,220
493,220
484,220
481,216
482,216
480,220
477,220
478,220
481,216
480,216
480,224
483,220
487,220
490,216
490,216
489,216
488,220
484,220
482,220
482,216
484,216
483,220
484,220
487,220
497,216
497,216
500,224
502,220
503,220
500,216
500,216
500,216
498,220
490,220
484,220
485,216
483,216
481,220
483,220
488,220
496,216
498,216
501,220
504,220
504,220
502,216
502,216
502,220
500,220
497,220
496,220
491,216
488,216
484,220
484,220
485,220
480,216
481,216
482,224
482,220
479,220
480,216
484,216
484,216
481,220
483,220
486,220
486,216
485,216
485,220
487,220
486,220
480,216
480,216
482,224
480,220
480,220
482,216
486,216
490,216
497,220
500,220
502,220
501,216
503,216
504,220
504,220
501,220
501,216
500,216
499,224
495,220
493,220
496,216
496,216
496,224
499,220
501,220
502,220
500,216
500,216
501,220
496,220
486,220
483,216
484,216
481,224
478,220
480,220
480,216
481,216
482,216
485,220
488,220
493,216
497,216
501,216
500,220
496,220
495,220
489,216
485,216
482,224
481,220
482,220
483,216
480,216
482,224
484,220
486,220
484,220
483,216
485,216
486,220
486,220
487,220
490,216
496,216
497,224
498,220
501,220
499,216
501,216
503,216
503,220
501,220
502,220
504,216
502,216
499,220
496,220
492,220
487,216
483,216
482,224
483,220
483,220
480,216
483,216
485,216
486,220
486,220
490,220
497,216
496,216
496,220
496,220
495,220
492,216
489,216
488,224
489,220
484,220
483,216
486,216
486,216
482,220
483,216
487,220
486,216
484,216
486,220
488,220
493,220
493,216
496,216
499,224
502,220
499,220
499,216
501,216
495,216
485,220
482,220
482,220
481,216
479,216
480,220
481,220
481,220
486,216
494,216
500,224
500,220
502,220
505,216
505,216
502,216
502,220
503,220
500,220
493,216
487,216
487,220
485,220
485,220
487,216
490,216
496,224
497,220
497,220
497,216
491,216
485,216
484,220
484,220
484,220
482,216
483,216
484,220
484,220
486,216
493,216
497,216
495,224
496,220
499,220
497,216
491,216
486,216
488,220
486,220
482,220
484,216
487,216
487,220
484,220
484,220
486,216
483,216
480,224
481,220
482,220
482,216
481,216
483,216
486,220
488,220
497,220
500,216
502,216
501,220
503,220
505,220
505,216
500,216
500,224
500,220
498,220
491,216
487,216
486,216
486,220
489,220
496,220
500,216
502,216
500,220
501,220
504,220
501,216
497,216
495,224
493,220
486,220
485,216
485,216
483,224
482,220
482,220
484,220
484,216
481,216
481,220
487,220
483,220
480,216
482,216
484,224
486,220
483,220
485,216
487,216
485,216
483,220
484,220
487,220
485,216
484,216
485,220
492,220
495,220
495,216
496,216
499,224
496,220
498,220
498,216
498,216
494,216
493,220
496,220
495,220
489,216
489,216
495,220
497,220
496,220
497,216
500,216
503,224
499,220
500,220
503,216
500,216
497,216
496,220
494,220
490,220
485,216
485,216
486,220
485,220
485,220
487,216
490,216
493,224
496,220
501,220
499,216
495,216
493,216
489,220
486,220
482,220
481,216
482,216
481,220
478,220
480,220
482,216
485,216
484,220
491,220
499,220
500,216
499,216
500,216
503,220
497,220
494,220
489,216
486,216
484,220
484,220
486,220
486,216
487,216
489,224
492,220
497,216
496,216
497,216
500,216
499,220
496,220
495,220
492,216
488,216
485,220
486,220
487,220
486,216
484,216
489,224
493,220
496,220
497,216
499,216
500,216
499,220
501,220
502,216
503,216
501,216
500,220
501,220
499,220
486,216
482,216
483,224
482,220
477,220
477,216
478,216
479,224
477,220
480,220
484,220
485,216
485,216
494,220
499,220
497,220
490,216
486,216
486,220
484,220
482,220
482,216
485,216
486,216
491,220
498,220
501,220
500,216
502,216
505,220
503,220
501,220
500,216
502,216
498,224
488,220
486,220
487,216
488,216
489,216
497,220
500,220
501,220
502,216
502,216
505,220
502,220
498,220
497,216
495,216
486,224
486,220
486,220
485,216
482,216
484,216
489,220
487,220
484,216
487,216
490,216
488,220
484,220
484,220
484,216
484,216
480,220
480,220
480,220
480,216
479,216
479,216
483,220
482,220
480,216
482,216
483,216
483,220
482,220
483,220
487,216
490,216
499,224
504,220
505,220
502,216
504,216
507,224
506,220
503,220
501,220
503,216
501,216
498,220
499,220
502,220
501,216
499,216
501,224
503,220
502,220
499,216
499,216
498,216
490,220
482,220
481,220
480,216
479,216
477,220
478,220
479,220
479,216
481,216
488,224
496,220
497,220
498,216
504,216
499,216
492,220
484,220
484,220
482,216
478,216
478,220
480,220
481,220
480,216
482,216
487,224
487,220
495,220
498,216
501,216
500,216
499,220
501,220
501,220
498,216
499,216
502,220
501,220
499,220
500,216
502,216
503,224
499,220
498,220
500,216
499,216
496,224
498,220
501,220
502,220
498,216
501,216
504,220
499,220
496,220
492,216
489,216
485,224
481,220
481,220
481,216
477,216
478,224
478,220
480,220
477,220
480,216
485,216
485,220
483,220
484,216
488,216
488,216
488,224
489,220
495,220
497,216
495,216
496,216
498,220
497,220
496,220
497,216
499,216
499,220
496,220
498,220
499,216
497,216
488,224
487,220
489,220
484,216
486,216
487,216
488,220
487,220
494,220
496,216
495,216
494,220
495,220
495,220
494,216
487,216
488,224
489,220
490,220
486,216
485,216
487,216
486,220
485,220
487,220
489,216
488,216
486,220
490,220
496,220
494,216
497,216
499,224
501,220
497,220
497,216
499,216
498,216
494,220
492,220
490,220
489,216
486,216
486,220
488,220
487,220
486,216
492,216
496,224
497,220
499,220
500,216
503,216
502,216
500,220
501,220
501,220
496,216
493,216
488,220
486,220
481,220
481,216
482,216
482,224
478,220
480,220
483,216
482,216
480,216
482,220
484,220
484,220
482,216
481,216
483,220
483,220
482,220
483,216
487,216
489,224
495,220
499,220
504,216
502,216
500,216
502,220
503,220
499,220
499,216
498,216
499,220
495,220
489,220
490,216
488,216
483,224
484,220
488,220
488,216
492,216
493,216
495,220
497,220
494,220
496,216
497,216
496,220
495,220
496,220
501,216
499,216
497,224
498,220
498,220
491,216
486,216
485,216
486,220
483,220
483,216
485,216
484,216
482,220
484,220
489,220
489,216
488,216
494,224
497,220
499,220
497,216
499,216
500,216
500,220
498,220
499,220
502,216
500,216
498,220
499,220
500,220
500,216
497,216
498,220
501,220
496,220
495,216
494,216
490,216
485,220
485,220
486,220
486,216
482,216
483,220
485,220
484,220
481,216
482,216
484,220
482,220
482,220
481,216
484,216
485,216
482,220
484,220
487,220
486,216
483,216
485,220
485,220
484,220
483,216
485,216
485,220
484,220
485,220
490,216
490,216
493,224
498,220
504,220
504,216
501,216
502,216
505,220
504,220
500,220
501,216
502,216
502,224
498,220
498,220
500,216
496,216
495,216
495,220
498,220
498,216
498,216
500,216
501,220
499,220
499,220
499,216
497,216
493,224
488,220
487,220
486,216
482,216
482,216
484,220
485,220
483,220
484,216
489,216
484,220
483,220
484,220
484,216
482,216
481,220
480,220
483,220
482,216
482,216
486,216
492,220
495,220
499,220
501,216
504,216
501,220
501,220
503,220
499,216
493,216
487,224
486,220
485,220
481,216
482,216
484,216
484,220
484,220
486,220
491,216
495,216
496,220
496,220
499,220
497,216
495,216
495,224
496,220
496,220
488,216
489,216
489,224
491,220
489,220
495,220
497,216
494,216
493,220
491,220
489,220
485,216
485,216
487,224
488,220
485,220
487,216
489,216
495,216
495,220
496,220
496,220
498,216
496,216
497,220
500,220
500,220
497,216
499,216
501,224
497,220
498,220
497,216
497,216
493,216
485,220
484,220
482,220
480,216
480,216
483,220
484,220
484,220
491,216
499,216
500,224
502,220
503,220
504,216
504,216
502,216
502,220
502,220
496,216
484,216
483,216
482,220
482,220
481,220
483,216
486,216
487,224
496,220
501,220
501,216
498,216
497,216
499,220
492,220
486,220
485,216
487,216
485,220
483,220
484,220
486,216
487,216
483,224
484,220
486,220
486,216
482,216
482,216
486,220
484,220
483,220
483,216
484,216
483,220
486,220
485,220
487,216
484,216
483,224
487,220
485,220
483,216
485,216
490,216
490,220
495,220
499,220
503,216
502,216
501,220
503,220
503,220
505,216
500,216
501,220
502,220
499,220
496,216
497,216
498,216
498,220
498,220
500,220
503,216
498,216
499,220
502,220
498,220
492,216
486,216
487,224
485,220
482,220
483,216
485,216
487,224
488,220
495,220
500,220
501,216
499,216
500,220
502,220
498,220
493,216
486,216
485,224
483,220
480,220
481,216
481,216
479,220
480,220
481,220
483,220
482,216
485,216
489,220
494,220
494,220
497,216
500,216
500,224
496,220
496,220
498,216
496,216
493,216
486,220
486,220
485,220
483,216
483,216
486,220
485,220
485,220
486,216
492,216
487,220
493,220
496,220
497,216
496,216
496,224
499,220
497,220
496,220
494,216
491,216
491,220
488,220
487,220
490,216
488,216
487,224
488,220
491,220
494,216
494,216
497,216
501,220
501,220
498,220
499,216
502,216
501,220
499,220
500,220
499,216
499,216
497,224
498,220
499,220
495,216
492,216
491,216
490,220
484,220
485,220
486,216
484,216
482,220
484,220
487,220
487,216
489,216
494,224
496,220
498,220
497,216
498,216
500,216
496,220
487,220
484,220
484,216
484,216
481,220
481,220
483,220
481,216
483,216
486,224
488,220
487,220
492,216
498,216
499,216
497,220
498,220
499,220
499,216
497,216
496,220
497,220
490,220
486,216
486,216
490,224
488,220
485,220
484,216
488,216
484,224
484,220
485,220
487,220
490,216
494,216
497,220
499,220
496,220
495,216
498,216
493,224
489,220
485,220
487,216
485,216
482,216
482,220
485,220
485,220
485,216
493,216
498,220
500,220
499,220
499,216
501,216
497,224
494,220
490,220
489,216
489,216
491,216
497,220
500,220
501,220
501,216
504,216
503,220
499,220
499,220
501,216
493,216
484,224
484,220
484,220
484,216
482,216
484,216
487,220
491,220
493,220
496,216
500,216
499,220
496,220
495,220
492,216
489,216
485,224
485,220
483,220
482,216
482,216
482,216
485,220
480,220
482,216
485,216
484,216
482,220
484,220
487,220
486,216
485,216
488,224
495,220
498,220
497,216
499,216
499,216
500,220
498,220
500,216
502,216
501,216
499,220
499,220
498,220
494,216
490,216
485,224
487,220
482,220
483,216
485,216
484,224
482,220
484,220
489,220
489,216
496,216
497,220
504,220
503,220
502,216
502,216
504,224
504,220
499,220
498,216
495,216
487,216
482,220
482,220
483,220
481,216
480,216
481,220
483,220
480,220
483,216
486,216
491,224
490,220
494,220
491,216
492,216
493,216
493,220
491,220
494,220
493,216
496,216
498,220
498,220
497,220
497,216
499,216
499,224
497,220
498,220
500,216
496,216
491,216
487,220
486,220
483,220
484,216
486,216
489,220
494,220
497,220
501,216
500,216
498,224
498,220
499,220
491,216
485,216
484,216
484,220
482,220
479,220
481,216
483,216
483,220
482,220
485,220
491,216
496,216
497,224
498,220
501,220
499,216
497,216
496,216
495,220
488,220
486,216
485,216
486,216
481,220
481,220
484,220
483,216
482,216
484,224
487,220
489,220
495,216
497,216
502,216
504,220
500,220
502,220
503,216
506,216
501,220
501,220
502,220
500,216
494,216
490,224
490,220
486,220
487,216
486,216
487,216
484,220
485,220
488,220
485,216
482,216
485,220
488,220
490,220
491,216
498,216
502,224
502,220
500,220
500,216
501,216
499,216
496,220
491,220
489,216
485,216
480,216
478,220
481,220
479,220
477,216
480,216
480,224
479,220
483,220
488,216
495,216
496,216
495,220
492,220
490,220
486,216
486,216
488,220
486,220
485,220
488,216
494,216
495,224
496,220
499,220
500,216
499,216
498,224
499,220
500,220
498,220
495,216
493,216
489,220
486,220
487,220
493,216
500,216
498,224
501,220
503,220
504,216
501,216
500,216
502,220
500,220
496,220
491,216
489,216
486,220
484,220
483,220
487,216
486,216
483,220
485,220
488,220
487,216
488,216
487,216
488,220
487,220
484,216
485,216
485,216
483,220
484,220
487,220
489,216
486,216
486,220
488,220
487,220
482,216
482,216
483,220
483,220
481,220
482,220
485,216
487,216
488,220
495,220
498,220
500,216
500,216
501,224
504,220
501,220
499,216
498,216
499,216
496,220
494,220
489,220
489,216
484,216
484,220
486,220
485,220
483,216
483,216
486,224
485,220
483,220
487,216
495,216
498,216
499,220
501,220
504,216
503,216
502,216
501,220
502,220
499,220
486,216
483,216
482,224
481,220
478,220
478,216
479,216
477,224
480,220
485,220
488,220
494,216
499,216
502,220
502,220
498,220
497,216
493,216
487,220
483,220
484,220
485,216
486,216
485,216
487,220
495,220
498,220
498,216
500,216
503,220
500,220
498,220
499,216
498,216
495,220
495,220
497,220
498,216
496,216
498,216
504,220
503,220
501,220
501,216
504,216
503,220
497,220
493,220
489,216
486,216
481,224
482,220
483,220
481,216
480,216
482,216
484,220
484,220
484,220
486,216
491,216
492,220
496,220
496,220
499,216
493,216
487,220
488,220
489,220
484,216
483,216
486,216
485,220
483,220
483,220
485,216
482,216
480,220
480,220
482,220
482,216
481,216
484,224
489,220
495,220
497,216
500,216
504,216
503,220
502,220
503,220
504,216
501,216
502,220
502,220
502,220
498,216
497,216
497,224
493,220
487,220
485,216
487,216
484,224
483,220
486,220
490,220
490,216
495,216
497,220
498,220
498,220
497,216
498,216
501,224
499,220
496,220
494,216
490,216
486,216
483,220
483,220
485,220
481,216
482,216
485,220
486,220
484,220
486,216
489,216
492,220
492,220
492,220
496,216
498,216
495,216
497,220
498,220
494,220
489,216
486,216
485,220
484,220
480,220
481,216
483,216
482,224
482,220
484,220
485,216
484,216
489,216
496,220
499,220
497,220
500,216
503,216
501,220
499,220
499,220
500,216
497,216
485,224
484,220
486,220
485,216
483,216
482,216
484,220
483,220
482,220
482,216
488,216
485,220
486,220
493,220
499,216
502,216
501,224
504,220
507,220
503,216
504,216
505,220
503,220
499,220
496,220
491,216
488,216
483,220
482,220
483,220
483,216
480,216
482,224
485,220
484,220
484,216
487,216
493,224
490,220
491,220
495,220
498,216
498,216
499,220
499,220
500,220
497,216
494,216
488,224
485,220
481,220
479,216
482,216
480,216
479,220
480,220
484,216
484,216
485,216
492,220
499,220
500,220
498,216
500,216
502,224
503,220
499,220
499,216
501,216
499,216
492,220
487,220
490,220
488,216
484,216
485,220
484,220
482,220
484,216
485,216
487,224
487,220
489,220
496,216
497,216
495,224
495,220
499,220
496,220
493,216
492,216
491,220
489,220
485,220
485,216
486,216
485,224
483,220
484,220
487,216
487,216
486,220
487,220
488,220
485,220
489,216
492,216
496,220
494,220
498,220
502,216
501,216
499,224
502,220
503,220
503,216
498,216
496,216
494,220
487,220
482,220
481,216
484,216
481,220
480,220
482,220
487,216
490,216
496,224
499,220
505,220
503,216
501,216
503,216
503,220
499,220
499,216
498,216
496,216
485,220
481,220
484,220
483,216
480,216
481,220
