sensor_1,delay
494,216
494,220
489,220
491,220
496,216
493,216
491,224
488,220
493,220
487,216
489,216
489,216
489,220
486,220
487,220
488,216
491,216
487,220
488,220
489,220
490,216
487,216
487,224
488,220
487,220
485,216
488,216
489,216
489,220
487,220
487,216
492,216
489,216
486,220
487,220
491,220
489,216
489,216
489,224
490,220
489,220
489,216
487,216
489,216
486,220
487,220
488,220
490,216
486,216
486,220
489,220
487,220
485,216
485,216
489,224
487,220
487,216
488,216
494,216
493,216
490,220
491,220
493,220
495,216
492,216
494,220
494,220
493,216
492,216
488,216
489,220
492,220
488,220
490,216
491,216
489,216
489,220
492,220
490,220
488,216
490,216
491,220
492,220
492,220
493,216
496,216
493,224
491,220
492,220
495,216
492,216
490,216
490,220
490,220
487,220
488,216
488,216
489,220
486,220
486,220
487,216
489,216
487,220
488,220
489,220
489,216
486,216
487,216
490,220
488,220
491,220
493,216
495,216
494,220
493,220
491,220
492,216
491,216
493,224
492,220
491,220
488,216
486,216
491,216
495,220
491,220
490,220
488,216
489,216
488,220
487,220
490,220
492,216
488,216
492,224
497,220
494,220
491,216
489,216
489,224
489,220
486,220
486,220
487,216
487,216
485,220
486,220
489,220
487,216
486,216
487,224
490,220
489,220
486,216
486,216
489,216
486,220
487,220
493,216
496,216
490,216
493,220
494,220
491,220
492,216
493,216
496,220
494,220
492,220
493,216
494,216
494,216
491,220
493,220
496,220
494,216
494,216
492,220
496,220
494,220
492,216
492,216
495,224
491,220
488,220
489,216
489,216
487,216
487,220
491,220
491,220
487,216
487,216
491,220
488,220
486,220
488,216
489,216
488,224
486,220
486,220
488,216
489,216
485,216
487,220
489,220
488,220
487,216
489,216
492,220
487,220
487,220
489,216
492,216
487,224
490,220
492,220
494,216
493,216
494,216
495,220
495,220
492,220
490,216
496,216
495,220
493,220
494,220
494,216
495,216
494,224
493,220
494,220
495,216
492,216
490,216
490,220
488,220
487,220
487,216
491,216
488,220
487,220
489,220
492,216
486,216
488,224
490,220
490,220
486,216
487,216
490,216
489,220
485,220
487,220
489,216
489,216
488,220
487,220
491,216
491,216
490,216
492,224
491,220
490,220
488,216
489,216
494,216
492,220
490,220
494,220
494,216
488,216
492,220
494,220
492,220
491,216
489,216
491,224
491,220
489,220
493,216
492,216
494,216
491,220
490,220
491,220
489,216
488,216
489,220
493,220
496,220
488,216
487,216
489,224
490,220
488,220
488,216
491,216
490,216
487,220
487,220
487,220
485,216
488,216
489,220
